               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10346,            0.064991,            0.036555,              0.4542,            0.084665,            0.037966,           0.0093569,            0.079843,            0.037984,            0.024373,            0.070476,           0.0032804,           0.0032804
                   1,            0.079384,            0.068796,            0.024654,             0.45373,             0.38071,             0.19334,            0.061835,            0.070634,            0.026395,            0.014767,            0.039821,            0.005959,            0.005959
                   2,            0.073564,            0.057018,            0.019419,             0.55412,             0.44311,             0.28295,             0.10729,            0.064968,            0.021374,            0.011956,           0.0085067,           0.0079776,           0.0079776
                   3,            0.068169,            0.054617,            0.015049,              0.7364,             0.40907,             0.42607,             0.18323,            0.059398,            0.019342,           0.0081765,             0.00703,             0.00703,             0.00703
                   4,            0.062274,            0.048594,            0.011895,             0.68378,             0.45072,             0.40361,             0.16152,            0.060515,            0.019376,           0.0082463,             0.00703,             0.00703,             0.00703
                   5,            0.056428,             0.04871,            0.010378,              0.8395,             0.52058,             0.53064,             0.23555,            0.049525,               0.019,           0.0052614,             0.00604,             0.00604,             0.00604
                   6,            0.051388,            0.047972,           0.0095415,             0.90527,             0.52435,             0.58712,             0.27524,            0.047029,            0.018176,           0.0047474,             0.00505,             0.00505,             0.00505
                   7,            0.046367,            0.046402,           0.0081105,             0.94414,             0.54916,               0.632,             0.33588,            0.042263,            0.017122,           0.0035682,             0.00406,             0.00406,             0.00406
                   8,            0.044102,            0.046696,           0.0076038,             0.73706,             0.70803,             0.71438,             0.39434,             0.03746,            0.016336,           0.0029638,             0.00307,             0.00307,             0.00307
                   9,            0.041224,            0.044357,            0.007017,             0.73587,             0.71031,             0.72318,             0.40389,            0.035405,            0.016267,            0.002968,             0.00208,             0.00208,             0.00208
